t,vx,vy,vz
7.203369,0,0,0
7.220284,0,0,0
7.236954,0,0,0
7.254364,0,0,0
7.270554,0,0,0
7.287148,0,0,0
7.304337,0,0,0
7.320465,0,0,0
7.336906,0,0,0
7.353783,0,0,0
7.370728,0,0,0
7.389427,0,0,0
7.407234,0,0,0
7.42041,0,0,0
7.438393,0,0,0
7.454117,0,0,0
7.47049,0,0,0
7.486595,0,0,0
7.515472,0,0,0
7.527496,0,0,0
7.539131,0,0,0
7.557762,0,0,0
7.572395,0,0,0
7.586235,0,0,0
7.602646,0,0,0
7.619347,0,0,0
7.636292,0,0,0
7.653091,0,0,0
7.670288,0,0,0
7.686089,0,0,0
7.702805,0,0,0
7.719429,0,0,0
7.736595,0,0,0
7.754112,0,0,0
7.770447,0,0,0
7.786743,0,0,0
7.80336,0,0,0
7.820137,0,0,0
7.836502,0,0,0
7.853447,0,0,0
7.870491,0,0,0
7.888077,0,0,0
7.90435,0,0,0
7.920464,0,0,0
7.937988,0,0,0
7.953369,0,0,0
7.969604,0,0,0
7.98642,0,0,0
8.00322,0,0,0
8.020119,0,0,0
8.037468,0,0,0
8.052612,0,0,0
8.069244,0,0,0
8.085609,0,0,0
8.102409,0,0,0
8.120049,0,0,0
8.136543,0,0,0
8.152786,0,0,0
8.169144,0,0,0
8.186256,0,0,0
8.20266,0,0,0
8.219246,0,0,0
8.236313,0,0,0
8.253105,0,0,0
8.269012,0,0,0
8.286316,0,0,0
8.30323,0,0,0
8.319504,0,0,0
8.336357,0,0,0
8.352989,0,0,0
8.369339,0,0,0
8.385902,0,0,0
8.402573,0,0,0
8.419121,0,0,0
8.436501,0,0,0
8.453415,0,0,0
8.470261,0,0,0
8.486465,0,0,0
8.503464,0,0,0
8.519958,0,0,0
8.536278,0,0,0
8.554146,0,0,0
8.569374,0,0,0
8.585785,0,0,0
8.602242,0,0,0
8.619095,0,0,0
8.635727,0,0,0
8.652344,0,0,0
8.669334,0,0,0
8.685715,0,0,0
8.702599,0,0,0
8.719284,0,0,0
8.736008,0,0,0
8.75267,0,0,0
8.768959,0,0,0
8.78566,0,0,0
8.802849,0,0,0
8.819695,0,0,0
8.836105,0,0,0
8.852798,0,0,0
8.869278,0,0,0
8.885666,0,0,0
8.902695,0,0,0
8.91935,0,0,0
8.936127,0,0,0
8.95266,0,0,0
8.969429,0,0,0
8.985664,0,0,0
9.002815,0,0,0
9.01915,0,0,0
9.035675,0,0,0
9.052628,0,0,0
9.068771,0,0,0
9.085602,0,0,0
9.102676,0,0,0
9.119583,0,0,0
9.136292,0,0,0
9.152191,0,0,0
9.16954,0,0,0
9.185791,0,0,0
9.202698,0,0,0
9.219185,0,0,0
9.237144,0,0,0
9.25235,0,0,0
9.268929,0,0,0
9.285606,0,0,0
9.302757,0,0,0
9.319443,0,0,0
9.335564,0,0,0
9.3526,0,0,0
9.369736,0,0,0
9.38559,0,0,0
9.402283,0,0,0
9.419495,0,0,0
9.43602,0,0,0
9.452469,0,0,0
9.46946,0,0,0
9.485413,0,0,0
9.502609,0,0,0
9.519028,0,0,0
9.53553,0,0,0
9.552589,0,0,0
9.569092,0,0,0
9.585709,0,0,0
9.602745,0,0,0
9.61908,0,0,0
9.635765,0,0,0
9.652298,0,0,0
9.669975,0,0,0
9.686714,0,0,0
9.702324,0,0,0
9.718857,0,0,0
9.735542,0,0,0
9.752449,0,0,0
9.769218,0,0,0
9.785324,0,0,0
9.802681,0,0,0
9.81929,0,0,0
9.835503,0,0,0
9.852417,0,0,0
9.869347,0,0,0
9.885941,0,0,0
9.902466,0,0,0
9.919403,0,0,0
9.936119,0,0,0
9.952362,0,0,0
9.969254,0,0,0
9.985497,0,0,0
10.00272,0,0,0
10.01937,0,0,0
10.03526,0,0,0
10.0527,0,0,0
10.06937,0,0,0
10.08587,0,0,0
10.10216,0,0,0
10.11871,0,0,0
10.13605,0,0,0
10.15234,0,0,0
10.16918,0,0,0
10.18581,0,0,0
10.20315,0,0,0
10.21935,0,0,0
10.23602,0,0,0
10.25244,0,0,0
10.26863,0,0,0
10.28535,0,0,0
10.30247,0,0,0
10.31969,0,0,0
10.33561,0,0,0
10.35332,0,0,0
10.36943,0,0,0
10.38623,0,0,0
10.40362,0,0,0
10.41971,0,0,0
10.43672,0,0,0
10.4531,0,0,0
10.47022,0,0,0
10.4863,0,0,0
10.50362,0,0,0
10.52005,0,0,0
10.53642,0,0,0
10.55313,0,0,0
10.57034,0,0,0
10.58687,0,0,0
10.60355,0,0,0
10.61977,0,0,0
10.63684,0,0,0
10.65292,0,0,0
10.6702,0,0,0
10.68639,0,0,0
10.70342,0,0,0
10.71947,0,0,0
10.73676,0,0,0
10.75271,0,0,0
10.77024,0,0,0
10.78534,0,0,0
10.80268,0,0,0
10.81832,0,0,0
10.83511,0,0,0
10.8521,0,0,0
10.86871,0,0,0
10.88515,0,0,0
10.9021,0,0,0
10.9191,0,0,0
10.9351,0,0,0
10.95199,0,0,0
10.96876,0,0,0
10.98531,0,0,0
11.00221,0,0,0
11.01894,0,0,0
11.03524,0,0,0
11.05192,0,0,0
11.06889,0,0,0
11.08512,0,0,0
11.1021,0,0,0
11.11902,0,0,0
11.13503,0,0,0
11.15173,0,0,0
11.16931,0,0,0
11.18546,0,0,0
11.20253,0,0,0
11.21881,0,0,0
11.23568,0,0,0
11.2523,0,0,0
11.26903,0,0,0
11.28553,0,0,0
11.30215,0,0,0
11.31928,0,0,0
11.33546,0,0,0
11.35153,0,0,0
11.36883,0,0,0
11.38583,0,0,0
11.40177,0,0,0
11.41931,0,0,0
11.4356,0,0,0
11.45155,0,0,0
11.46844,0,0,0
11.48518,0,0,0
11.50166,0,0,0
11.51844,0,0,0
11.53488,0,0,0
11.55168,0,0,0
11.5687,0,0,0
11.58486,0,0,0
11.60159,0,0,0
11.61875,0,0,0
11.63491,0,0,0
11.65186,0,0,0
11.66837,0,0,0
11.68495,0,0,0
11.70177,0,0,0
11.71856,0,0,0
11.73497,0,0,0
11.75153,0,0,0
11.76818,0,0,0
11.78493,0,0,0
11.80175,0,0,0
11.81827,0,0,0
11.83489,0,0,0
11.85146,0,0,0
11.86818,0,0,0
11.88495,0,0,0
11.90201,0,0,0
11.91917,0,0,0
11.93488,0,0,0
11.95199,0,0,0
11.96899,0,0,0
11.98533,0,0,0
12.00201,0,0,0
12.01813,0,0,0
12.03487,0,0,0
12.0515,0,0,0
12.06798,0,0,0
12.08482,0,0,0
12.10139,0,0,0
12.11801,0,0,0
12.13472,0,0,0
12.15136,0,0,0
12.16806,0,0,0
12.18465,0,0,0
12.20142,0,0,0
12.21806,0,0,0
12.23514,0,0,0
12.25158,0,0,0
12.26891,0,0,0
12.28481,0,0,0
12.30212,0,0,0
12.31834,0,0,0
12.33568,0,0,0
12.35158,0,0,0
12.36911,0,0,0
12.38481,0,0,0
12.40204,0,0,0
12.4183,0,0,0
12.43546,0,0,0
12.4519,0,0,0
