t,x,y,z, HasCollision
4.89925,97.24729,50,295.2678,False
4.916126,102.3106,50,295.0114,False
4.932682,107.2765,50,294.5134,False
4.949268,112.2526,50,293.7667,False
4.965977,117.2654,50,292.7632,False
4.98267,122.0216,50,291.5103,False
4.998943,126.421,50,290.0501,False
5.015568,130.6665,50,288.3097,False
5.032162,134.6574,50,286.3241,False
5.048931,138.4349,50,284.066,False
5.066349,142.0877,50,281.4458,False
5.082005,145.1489,50,278.8714,False
5.098644,148.1549,50,275.8844,False
5.115337,150.9184,50,272.6386,False
5.13216,153.4487,50,269.1129,False
5.149448,155.7806,50,265.2198,False
5.165943,157.761,50,261.2595,False
5.182919,159.5387,50,257.4456,False
5.199123,161,50,254.0397,False
5.215939,162.2621,50,250.7591,False
5.23222,163.2449,50,247.8232,False
5.249485,164.0191,49.73177,244.9774,False
5.265942,164.5135,49.23209,242.5077,False
5.282314,164.7639,48.49395,240.2927,False
5.299145,164.7664,47.48004,238.2704,False
5.315693,164.7664,46.23725,236.5292,False
5.331928,164.7664,44.7798,235.0572,False
5.348881,164.7664,43.00011,233.7794,False
5.365307,164.7664,41.03234,232.7839,False
5.382023,164.7664,38.77922,232.0225,False
5.39867,164.7664,36.28549,231.5135,False
5.415524,164.7664,33.50448,231.2538,False
5.432644,164.7664,30.41669,231.2538,False
5.449116,164.7664,27.68937,231.2538,False
5.465351,164.7664,25.23914,231.2538,False
5.482075,164.7664,22.96576,231.2538,False
5.499249,164.7664,20.89801,231.2538,False
5.515545,164.7664,19.17439,231.2538,False
5.531834,164.7664,17.68999,231.2538,False
5.548649,164.7664,16.41236,231.2538,False
5.565296,164.7664,15.39715,231.2538,False
5.582241,164.7664,14.62197,231.2538,False
5.599369,164.7664,14.10258,231.2538,False
5.615505,164.7664,13.84757,231.2538,False
5.631847,164.7664,13.82965,231.2538,False
5.649204,164.7664,13.82965,231.2538,False
5.666149,164.7664,13.82965,231.2538,False
5.682201,164.7664,13.82965,231.2538,False
5.699291,164.7664,13.82965,231.2538,False
5.715481,164.7664,13.82965,231.2538,False
5.73251,164.7664,13.82965,231.2538,False
5.748753,164.7664,13.82965,231.2538,False
5.766087,164.7664,13.82965,231.2538,False
5.782391,164.7664,13.82965,231.2538,False
5.798969,164.7664,13.82965,231.2538,False
5.815762,164.7664,13.82965,231.2538,False
5.832531,164.7664,13.82965,231.2538,False
5.849262,164.7664,13.82965,231.2538,False
5.865925,164.7664,13.82965,231.2538,False
5.882305,164.7664,13.82965,231.2538,False
